,Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
58,US National,Season peak week,Bin,week,12,13,0.03030303
59,US National,Season peak week,Bin,week,13,14,0.03030303
60,US National,Season peak week,Bin,week,14,15,0.03030303
61,US National,Season peak week,Bin,week,15,16,0.03030303
62,US National,Season peak week,Bin,week,16,17,0.03030303
63,US National,Season peak week,Bin,week,17,18,0.03030303
64,US National,Season peak week,Bin,week,18,19,0.03030303
65,US National,Season peak week,Bin,week,19,20,0.03030303
66,US National,Season peak week,Bin,week,20,21,0.03030303
67,US National,Season peak percentage,Bin,percent,0.0,0.1,0.007633588
68,US National,Season peak percentage,Bin,percent,0.1,0.2,0.007633588
69,US National,Season peak percentage,Bin,percent,0.2,0.3,0.007633588
70,US National,Season peak percentage,Bin,percent,0.3,0.4,0.007633588
71,US National,Season peak percentage,Bin,percent,0.4,0.5,0.007633588
72,US National,Season peak percentage,Bin,percent,0.5,0.6,0.007633588
73,US National,Season peak percentage,Bin,percent,0.6,0.7,0.007633588
74,US National,Season peak percentage,Bin,percent,0.7,0.8,0.007633588
75,US National,Season peak percentage,Bin,percent,0.8,0.9,0.007633588
76,US National,Season peak percentage,Bin,percent,0.9,1.0,0.007633588
77,US National,Season peak percentage,Bin,percent,1.0,1.1,0.007633588
78,US National,Season peak percentage,Bin,percent,1.1,1.2,0.007633588
79,US National,Season peak percentage,Bin,percent,1.2,1.3,0.007633588
80,US National,Season peak percentage,Bin,percent,1.3,1.4,0.007633588
81,US National,Season peak percentage,Bin,percent,1.4,1.5,0.007633588
82,US National,Season peak percentage,Bin,percent,1.5,1.6,0.007633588
83,US National,Season peak percentage,Bin,percent,1.6,1.7,0.007633588
84,US National,Season peak percentage,Bin,percent,1.7,1.8,0.007633588
85,US National,Season peak percentage,Bin,percent,1.8,1.9,0.007633588
86,US National,Season peak percentage,Bin,percent,1.9,2.0,0.007633588
87,US National,Season peak percentage,Bin,percent,2.0,2.1,0.007633588
88,US National,Season peak percentage,Bin,percent,2.1,2.2,0.007633588
89,US National,Season peak percentage,Bin,percent,2.2,2.3,0.007633588
90,US National,Season peak percentage,Bin,percent,2.3,2.4,0.007633588
91,US National,Season peak percentage,Bin,percent,2.4,2.5,0.007633588
92,US National,Season peak percentage,Bin,percent,2.5,2.6,0.007633588
93,US National,Season peak percentage,Bin,percent,2.6,2.7,0.007633588
94,US National,Season peak percentage,Bin,percent,2.7,2.8,0.007633588
95,US National,Season peak percentage,Bin,percent,2.8,2.9,0.007633588
96,US National,Season peak percentage,Bin,percent,2.9,3.0,0.007633588
97,US National,Season peak percentage,Bin,percent,3.0,3.1,0.007633588
98,US National,Season peak percentage,Bin,percent,3.1,3.2,0.007633588
99,US National,Season peak percentage,Bin,percent,3.2,3.3,0.007633588
100,US National,Season peak percentage,Bin,percent,3.3,3.4,0.007633588
101,US National,Season peak percentage,Bin,percent,3.4,3.5,0.007633588
102,US National,Season peak percentage,Bin,percent,3.5,3.6,0.007633588
103,US National,Season peak percentage,Bin,percent,3.6,3.7,0.007633588
104,US National,Season peak percentage,Bin,percent,3.7,3.8,0.007633588
105,US National,Season peak percentage,Bin,percent,3.8,3.9,0.007633588
106,US National,Season peak percentage,Bin,percent,3.9,4.0,0.007633588
107,US National,Season peak percentage,Bin,percent,4.0,4.1,0.007633588
108,US National,Season peak percentage,Bin,percent,4.1,4.2,0.007633588
109,US National,Season peak percentage,Bin,percent,4.2,4.3,0.007633588
110,US National,Season peak percentage,Bin,percent,4.3,4.4,0.007633588
111,US National,Season peak percentage,Bin,percent,4.4,4.5,0.007633588
112,US National,Season peak percentage,Bin,percent,4.5,4.6,0.007633588
113,US National,Season peak percentage,Bin,percent,4.6,4.7,0.007633588
114,US National,Season peak percentage,Bin,percent,4.7,4.8,0.007633588
115,US National,Season peak percentage,Bin,percent,4.8,4.9,0.007633588
116,US National,Season peak percentage,Bin,percent,4.9,5.0,0.007633588
117,US National,Season peak percentage,Bin,percent,5.0,5.1,0.007633588
118,US National,Season peak percentage,Bin,percent,5.1,5.2,0.007633588
119,US National,Season peak percentage,Bin,percent,5.2,5.3,0.007633588
120,US National,Season peak percentage,Bin,percent,5.3,5.4,0.007633588
121,US National,Season peak percentage,Bin,percent,5.4,5.5,0.007633588
122,US National,Season peak percentage,Bin,percent,5.5,5.6,0.007633588
123,US National,Season peak percentage,Bin,percent,5.6,5.7,0.007633588
124,US National,Season peak percentage,Bin,percent,5.7,5.8,0.007633588
125,US National,Season peak percentage,Bin,percent,5.8,5.9,0.007633588
126,US National,Season peak percentage,Bin,percent,5.9,6.0,0.007633588
127,US National,Season peak percentage,Bin,percent,6.0,6.1,0.007633588
128,US National,Season peak percentage,Bin,percent,6.1,6.2,0.007633588
129,US National,Season peak percentage,Bin,percent,6.2,6.3,0.007633588
130,US National,Season peak percentage,Bin,percent,6.3,6.4,0.007633588
131,US National,Season peak percentage,Bin,percent,6.4,6.5,0.007633588
132,US National,Season peak percentage,Bin,percent,6.5,6.6,0.007633588
133,US National,Season peak percentage,Bin,percent,6.6,6.7,0.007633588
134,US National,Season peak percentage,Bin,percent,6.7,6.8,0.007633588
135,US National,Season peak percentage,Bin,percent,6.8,6.9,0.007633588
136,US National,Season peak percentage,Bin,percent,6.9,7.0,0.007633588
137,US National,Season peak percentage,Bin,percent,7.0,7.1,0.007633588
138,US National,Season peak percentage,Bin,percent,7.1,7.2,0.007633588
139,US National,Season peak percentage,Bin,percent,7.2,7.3,0.007633588
140,US National,Season peak percentage,Bin,percent,7.3,7.4,0.007633588
141,US National,Season peak percentage,Bin,percent,7.4,7.5,0.007633588
142,US National,Season peak percentage,Bin,percent,7.5,7.6,0.007633588
143,US National,Season peak percentage,Bin,percent,7.6,7.7,0.007633588
144,US National,Season peak percentage,Bin,percent,7.7,7.8,0.007633588
145,US National,Season peak percentage,Bin,percent,7.8,7.9,0.007633588
146,US National,Season peak percentage,Bin,percent,7.9,8.0,0.007633588
147,US National,Season peak percentage,Bin,percent,8.0,8.1,0.007633588
148,US National,Season peak percentage,Bin,percent,8.1,8.2,0.007633588
149,US National,Season peak percentage,Bin,percent,8.2,8.3,0.007633588
150,US National,Season peak percentage,Bin,percent,8.3,8.4,0.007633588
151,US National,Season peak percentage,Bin,percent,8.4,8.5,0.007633588
152,US National,Season peak percentage,Bin,percent,8.5,8.6,0.007633588
153,US National,Season peak percentage,Bin,percent,8.6,8.7,0.007633588
154,US National,Season peak percentage,Bin,percent,8.7,8.8,0.007633588
155,US National,Season peak percentage,Bin,percent,8.8,8.9,0.007633588
156,US National,Season peak percentage,Bin,percent,8.9,9.0,0.007633588
157,US National,Season peak percentage,Bin,percent,9.0,9.1,0.007633588
158,US National,Season peak percentage,Bin,percent,9.1,9.2,0.007633588
159,US National,Season peak percentage,Bin,percent,9.2,9.3,0.007633588
160,US National,Season peak percentage,Bin,percent,9.3,9.4,0.007633588
161,US National,Season peak percentage,Bin,percent,9.4,9.5,0.007633588
162,US National,Season peak percentage,Bin,percent,9.5,9.6,0.007633588
163,US National,Season peak percentage,Bin,percent,9.6,9.7,0.007633588
164,US National,Season peak percentage,Bin,percent,9.7,9.8,0.007633588
165,US National,Season peak percentage,Bin,percent,9.8,9.9,0.007633588
166,US National,Season peak percentage,Bin,percent,9.9,10.0,0.007633588
167,US National,Season peak percentage,Bin,percent,10.0,10.1,0.007633588
168,US National,Season peak percentage,Bin,percent,10.1,10.2,0.007633588
169,US National,Season peak percentage,Bin,percent,10.2,10.3,0.007633588
170,US National,Season peak percentage,Bin,percent,10.3,10.4,0.007633588
171,US National,Season peak percentage,Bin,percent,10.4,10.5,0.007633588
172,US National,Season peak percentage,Bin,percent,10.5,10.6,0.007633588
173,US National,Season peak percentage,Bin,percent,10.6,10.7,0.007633588
174,US National,Season peak percentage,Bin,percent,10.7,10.8,0.007633588
175,US National,Season peak percentage,Bin,percent,10.8,10.9,0.007633588
176,US National,Season peak percentage,Bin,percent,10.9,11.0,0.007633588
177,US National,Season peak percentage,Bin,percent,11.0,11.1,0.007633588
178,US National,Season peak percentage,Bin,percent,11.1,11.2,0.007633588
179,US National,Season peak percentage,Bin,percent,11.2,11.3,0.007633588
180,US National,Season peak percentage,Bin,percent,11.3,11.4,0.007633588
181,US National,Season peak percentage,Bin,percent,11.4,11.5,0.007633588
182,US National,Season peak percentage,Bin,percent,11.5,11.6,0.007633588
183,US National,Season peak percentage,Bin,percent,11.6,11.7,0.007633588
184,US National,Season peak percentage,Bin,percent,11.7,11.8,0.007633588
185,US National,Season peak percentage,Bin,percent,11.8,11.9,0.007633588
186,US National,Season peak percentage,Bin,percent,11.9,12.0,0.007633588
187,US National,Season peak percentage,Bin,percent,12.0,12.1,0.007633588
188,US National,Season peak percentage,Bin,percent,12.1,12.2,0.007633588
189,US National,Season peak percentage,Bin,percent,12.2,12.3,0.007633588
190,US National,Season peak percentage,Bin,percent,12.3,12.4,0.007633588
191,US National,Season peak percentage,Bin,percent,12.4,12.5,0.007633588
192,US National,Season peak percentage,Bin,percent,12.5,12.6,0.007633588
193,US National,Season peak percentage,Bin,percent,12.6,12.7,0.007633588
194,US National,Season peak percentage,Bin,percent,12.7,12.8,0.007633588
195,US National,Season peak percentage,Bin,percent,12.8,12.9,0.007633588
196,US National,Season peak percentage,Bin,percent,12.9,13.0,0.007633588
197,US National,Season peak percentage,Bin,percent,13.0,100.0,0.007633588
198,US National,1 wk ahead,Point,percent,,,1.5966889741407653
199,US National,1 wk ahead,Bin,percent,0.0,0.1,9.998700168978035e-07
200,US National,1 wk ahead,Bin,percent,0.1,0.2,9.998700168978035e-07
201,US National,1 wk ahead,Bin,percent,0.2,0.3,9.998700168978035e-07
202,US National,1 wk ahead,Bin,percent,0.3,0.4,9.998700168978035e-07
203,US National,1 wk ahead,Bin,percent,0.4,0.5,9.998700168978035e-07
204,US National,1 wk ahead,Bin,percent,0.5,0.6,9.998700168978035e-07
205,US National,1 wk ahead,Bin,percent,0.6,0.7,9.998700168978035e-07
206,US National,1 wk ahead,Bin,percent,0.7,0.8,9.998700168978035e-07
207,US National,1 wk ahead,Bin,percent,0.8,0.9,9.998700168978035e-07
208,US National,1 wk ahead,Bin,percent,0.9,1.0,9.998700168978035e-07
209,US National,1 wk ahead,Bin,percent,1.0,1.1,9.998700168978035e-07
210,US National,1 wk ahead,Bin,percent,1.1,1.2,9.998700168978035e-07
211,US National,1 wk ahead,Bin,percent,1.2,1.3,9.998700168978035e-07
212,US National,1 wk ahead,Bin,percent,1.3,1.4,9.998700168978035e-07
213,US National,1 wk ahead,Bin,percent,1.4,1.5,9.998700168978035e-07
214,US National,1 wk ahead,Bin,percent,1.5,1.6,0.0020007379040724717
215,US National,1 wk ahead,Bin,percent,1.6,1.7,0.046994843670322875
216,US National,1 wk ahead,Bin,percent,1.7,1.8,0.1779776849009629
217,US National,1 wk ahead,Bin,percent,1.8,1.9,0.29996170497835284
218,US National,1 wk ahead,Bin,percent,1.9,2.0,0.30496105006349183
219,US National,1 wk ahead,Bin,percent,2.0,2.1,0.13598318618579588
220,US National,1 wk ahead,Bin,percent,2.1,2.2,0.028997201363822712
221,US National,1 wk ahead,Bin,percent,2.2,2.3,0.003000606921100259
222,US National,1 wk ahead,Bin,percent,2.3,2.4,9.998700168978035e-07
223,US National,1 wk ahead,Bin,percent,2.4,2.5,9.998700168978035e-07
224,US National,1 wk ahead,Bin,percent,2.5,2.6,9.998700168978035e-07
225,US National,1 wk ahead,Bin,percent,2.6,2.7,9.998700168978035e-07
226,US National,1 wk ahead,Bin,percent,2.7,2.8,9.998700168978035e-07
227,US National,1 wk ahead,Bin,percent,2.8,2.9,9.998700168978035e-07
228,US National,1 wk ahead,Bin,percent,2.9,3.0,9.998700168978035e-07
229,US National,1 wk ahead,Bin,percent,3.0,3.1,9.998700168978035e-07
230,US National,1 wk ahead,Bin,percent,3.1,3.2,9.998700168978035e-07
231,US National,1 wk ahead,Bin,percent,3.2,3.3,9.998700168978035e-07
232,US National,1 wk ahead,Bin,percent,3.3,3.4,9.998700168978035e-07
233,US National,1 wk ahead,Bin,percent,3.4,3.5,9.998700168978035e-07
234,US National,1 wk ahead,Bin,percent,3.5,3.6,9.998700168978035e-07
235,US National,1 wk ahead,Bin,percent,3.6,3.7,9.998700168978035e-07
236,US National,1 wk ahead,Bin,percent,3.7,3.8,9.998700168978035e-07
237,US National,1 wk ahead,Bin,percent,3.8,3.9,9.998700168978035e-07
238,US National,1 wk ahead,Bin,percent,3.9,4.0,9.998700168978035e-07
239,US National,1 wk ahead,Bin,percent,4.0,4.1,9.998700168978035e-07
240,US National,1 wk ahead,Bin,percent,4.1,4.2,9.998700168978035e-07
241,US National,1 wk ahead,Bin,percent,4.2,4.3,9.998700168978035e-07
242,US National,1 wk ahead,Bin,percent,4.3,4.4,9.998700168978035e-07
243,US National,1 wk ahead,Bin,percent,4.4,4.5,9.998700168978035e-07
244,US National,1 wk ahead,Bin,percent,4.5,4.6,9.998700168978035e-07
245,US National,1 wk ahead,Bin,percent,4.6,4.7,9.998700168978035e-07
246,US National,1 wk ahead,Bin,percent,4.7,4.8,9.998700168978035e-07
247,US National,1 wk ahead,Bin,percent,4.8,4.9,9.998700168978035e-07
248,US National,1 wk ahead,Bin,percent,4.9,5.0,9.998700168978035e-07
249,US National,1 wk ahead,Bin,percent,5.0,5.1,9.998700168978035e-07
250,US National,1 wk ahead,Bin,percent,5.1,5.2,9.998700168978035e-07
251,US National,1 wk ahead,Bin,percent,5.2,5.3,9.998700168978035e-07
252,US National,1 wk ahead,Bin,percent,5.3,5.4,9.998700168978035e-07
253,US National,1 wk ahead,Bin,percent,5.4,5.5,9.998700168978035e-07
254,US National,1 wk ahead,Bin,percent,5.5,5.6,9.998700168978035e-07
255,US National,1 wk ahead,Bin,percent,5.6,5.7,9.998700168978035e-07
256,US National,1 wk ahead,Bin,percent,5.7,5.8,9.998700168978035e-07
257,US National,1 wk ahead,Bin,percent,5.8,5.9,9.998700168978035e-07
258,US National,1 wk ahead,Bin,percent,5.9,6.0,9.998700168978035e-07
259,US National,1 wk ahead,Bin,percent,6.0,6.1,9.998700168978035e-07
260,US National,1 wk ahead,Bin,percent,6.1,6.2,9.998700168978035e-07
261,US National,1 wk ahead,Bin,percent,6.2,6.3,9.998700168978035e-07
262,US National,1 wk ahead,Bin,percent,6.3,6.4,9.998700168978035e-07
263,US National,1 wk ahead,Bin,percent,6.4,6.5,9.998700168978035e-07
264,US National,1 wk ahead,Bin,percent,6.5,6.6,9.998700168978035e-07
265,US National,1 wk ahead,Bin,percent,6.6,6.7,9.998700168978035e-07
266,US National,1 wk ahead,Bin,percent,6.7,6.8,9.998700168978035e-07
267,US National,1 wk ahead,Bin,percent,6.8,6.9,9.998700168978035e-07
268,US National,1 wk ahead,Bin,percent,6.9,7.0,9.998700168978035e-07
269,US National,1 wk ahead,Bin,percent,7.0,7.1,9.998700168978035e-07
270,US National,1 wk ahead,Bin,percent,7.1,7.2,9.998700168978035e-07
271,US National,1 wk ahead,Bin,percent,7.2,7.3,9.998700168978035e-07
272,US National,1 wk ahead,Bin,percent,7.3,7.4,9.998700168978035e-07
273,US National,1 wk ahead,Bin,percent,7.4,7.5,9.998700168978035e-07
274,US National,1 wk ahead,Bin,percent,7.5,7.6,9.998700168978035e-07
275,US National,1 wk ahead,Bin,percent,7.6,7.7,9.998700168978035e-07
276,US National,1 wk ahead,Bin,percent,7.7,7.8,9.998700168978035e-07
277,US National,1 wk ahead,Bin,percent,7.8,7.9,9.998700168978035e-07
278,US National,1 wk ahead,Bin,percent,7.9,8.0,9.998700168978035e-07
279,US National,1 wk ahead,Bin,percent,8.0,8.1,9.998700168978035e-07
280,US National,1 wk ahead,Bin,percent,8.1,8.2,9.998700168978035e-07
281,US National,1 wk ahead,Bin,percent,8.2,8.3,9.998700168978035e-07
282,US National,1 wk ahead,Bin,percent,8.3,8.4,9.998700168978035e-07
283,US National,1 wk ahead,Bin,percent,8.4,8.5,9.998700168978035e-07
284,US National,1 wk ahead,Bin,percent,8.5,8.6,9.998700168978035e-07
285,US National,1 wk ahead,Bin,percent,8.6,8.7,9.998700168978035e-07
286,US National,1 wk ahead,Bin,percent,8.7,8.8,9.998700168978035e-07
287,US National,1 wk ahead,Bin,percent,8.8,8.9,9.998700168978035e-07
288,US National,1 wk ahead,Bin,percent,8.9,9.0,9.998700168978035e-07
289,US National,1 wk ahead,Bin,percent,9.0,9.1,9.998700168978035e-07
290,US National,1 wk ahead,Bin,percent,9.1,9.2,9.998700168978035e-07
291,US National,1 wk ahead,Bin,percent,9.2,9.3,9.998700168978035e-07
292,US National,1 wk ahead,Bin,percent,9.3,9.4,9.998700168978035e-07
293,US National,1 wk ahead,Bin,percent,9.4,9.5,9.998700168978035e-07
294,US National,1 wk ahead,Bin,percent,9.5,9.6,9.998700168978035e-07
295,US National,1 wk ahead,Bin,percent,9.6,9.7,9.998700168978035e-07
296,US National,1 wk ahead,Bin,percent,9.7,9.8,9.998700168978035e-07
297,US National,1 wk ahead,Bin,percent,9.8,9.9,9.998700168978035e-07
298,US National,1 wk ahead,Bin,percent,9.9,10.0,9.998700168978035e-07
299,US National,1 wk ahead,Bin,percent,10.0,10.1,9.998700168978035e-07
300,US National,1 wk ahead,Bin,percent,10.1,10.2,9.998700168978035e-07
301,US National,1 wk ahead,Bin,percent,10.2,10.3,9.998700168978035e-07
302,US National,1 wk ahead,Bin,percent,10.3,10.4,9.998700168978035e-07
303,US National,1 wk ahead,Bin,percent,10.4,10.5,9.998700168978035e-07
304,US National,1 wk ahead,Bin,percent,10.5,10.6,9.998700168978035e-07
305,US National,1 wk ahead,Bin,percent,10.6,10.7,9.998700168978035e-07
306,US National,1 wk ahead,Bin,percent,10.7,10.8,9.998700168978035e-07
307,US National,1 wk ahead,Bin,percent,10.8,10.9,9.998700168978035e-07
308,US National,1 wk ahead,Bin,percent,10.9,11.0,9.998700168978035e-07
309,US National,1 wk ahead,Bin,percent,11.0,11.1,9.998700168978035e-07
310,US National,1 wk ahead,Bin,percent,11.1,11.2,9.998700168978035e-07
311,US National,1 wk ahead,Bin,percent,11.2,11.3,9.998700168978035e-07
312,US National,1 wk ahead,Bin,percent,11.3,11.4,9.998700168978035e-07
313,US National,1 wk ahead,Bin,percent,11.4,11.5,9.998700168978035e-07
314,US National,1 wk ahead,Bin,percent,11.5,11.6,9.998700168978035e-07
315,US National,1 wk ahead,Bin,percent,11.6,11.7,9.998700168978035e-07
316,US National,1 wk ahead,Bin,percent,11.7,11.8,9.998700168978035e-07
317,US National,1 wk ahead,Bin,percent,11.8,11.9,9.998700168978035e-07
318,US National,1 wk ahead,Bin,percent,11.9,12.0,9.998700168978035e-07
319,US National,1 wk ahead,Bin,percent,12.0,12.1,9.998700168978035e-07
320,US National,1 wk ahead,Bin,percent,12.1,12.2,9.998700168978035e-07
321,US National,1 wk ahead,Bin,percent,12.2,12.3,9.998700168978035e-07
322,US National,1 wk ahead,Bin,percent,12.3,12.4,9.998700168978035e-07
323,US National,1 wk ahead,Bin,percent,12.4,12.5,9.998700168978035e-07
324,US National,1 wk ahead,Bin,percent,12.5,12.6,9.998700168978035e-07
325,US National,1 wk ahead,Bin,percent,12.6,12.7,9.998700168978035e-07
326,US National,1 wk ahead,Bin,percent,12.7,12.8,9.998700168978035e-07
327,US National,1 wk ahead,Bin,percent,12.8,12.9,9.998700168978035e-07
328,US National,1 wk ahead,Bin,percent,12.9,13.0,9.998700168978035e-07
329,US National,1 wk ahead,Bin,percent,13.0,100,9.998700168978035e-07
330,US National,2 wk ahead,Point,percent,,,1.6444568690924621
331,US National,2 wk ahead,Bin,percent,0.0,0.1,0.9998700168978037
332,US National,2 wk ahead,Bin,percent,0.1,0.2,9.998700168978037e-07
333,US National,2 wk ahead,Bin,percent,0.2,0.3,9.998700168978037e-07
334,US National,2 wk ahead,Bin,percent,0.3,0.4,9.998700168978037e-07
335,US National,2 wk ahead,Bin,percent,0.4,0.5,9.998700168978037e-07
336,US National,2 wk ahead,Bin,percent,0.5,0.6,9.998700168978037e-07
337,US National,2 wk ahead,Bin,percent,0.6,0.7,9.998700168978037e-07
338,US National,2 wk ahead,Bin,percent,0.7,0.8,9.998700168978037e-07
339,US National,2 wk ahead,Bin,percent,0.8,0.9,9.998700168978037e-07
340,US National,2 wk ahead,Bin,percent,0.9,1.0,9.998700168978037e-07
341,US National,2 wk ahead,Bin,percent,1.0,1.1,9.998700168978037e-07
342,US National,2 wk ahead,Bin,percent,1.1,1.2,9.998700168978037e-07
343,US National,2 wk ahead,Bin,percent,1.2,1.3,9.998700168978037e-07
344,US National,2 wk ahead,Bin,percent,1.3,1.4,9.998700168978037e-07
345,US National,2 wk ahead,Bin,percent,1.4,1.5,9.998700168978037e-07
346,US National,2 wk ahead,Bin,percent,1.5,1.6,9.998700168978037e-07
347,US National,2 wk ahead,Bin,percent,1.6,1.7,9.998700168978037e-07
348,US National,2 wk ahead,Bin,percent,1.7,1.8,9.998700168978037e-07
349,US National,2 wk ahead,Bin,percent,1.8,1.9,9.998700168978037e-07
350,US National,2 wk ahead,Bin,percent,1.9,2.0,9.998700168978037e-07
351,US National,2 wk ahead,Bin,percent,2.0,2.1,9.998700168978037e-07
352,US National,2 wk ahead,Bin,percent,2.1,2.2,9.998700168978037e-07
353,US National,2 wk ahead,Bin,percent,2.2,2.3,9.998700168978037e-07
354,US National,2 wk ahead,Bin,percent,2.3,2.4,9.998700168978037e-07
355,US National,2 wk ahead,Bin,percent,2.4,2.5,9.998700168978037e-07
356,US National,2 wk ahead,Bin,percent,2.5,2.6,9.998700168978037e-07
357,US National,2 wk ahead,Bin,percent,2.6,2.7,9.998700168978037e-07
358,US National,2 wk ahead,Bin,percent,2.7,2.8,9.998700168978037e-07
359,US National,2 wk ahead,Bin,percent,2.8,2.9,9.998700168978037e-07
360,US National,2 wk ahead,Bin,percent,2.9,3.0,9.998700168978037e-07
361,US National,2 wk ahead,Bin,percent,3.0,3.1,9.998700168978037e-07
362,US National,2 wk ahead,Bin,percent,3.1,3.2,9.998700168978037e-07
363,US National,2 wk ahead,Bin,percent,3.2,3.3,9.998700168978037e-07
364,US National,2 wk ahead,Bin,percent,3.3,3.4,9.998700168978037e-07
365,US National,2 wk ahead,Bin,percent,3.4,3.5,9.998700168978037e-07
366,US National,2 wk ahead,Bin,percent,3.5,3.6,9.998700168978037e-07
367,US National,2 wk ahead,Bin,percent,3.6,3.7,9.998700168978037e-07
368,US National,2 wk ahead,Bin,percent,3.7,3.8,9.998700168978037e-07
369,US National,2 wk ahead,Bin,percent,3.8,3.9,9.998700168978037e-07
370,US National,2 wk ahead,Bin,percent,3.9,4.0,9.998700168978037e-07
371,US National,2 wk ahead,Bin,percent,4.0,4.1,9.998700168978037e-07
372,US National,2 wk ahead,Bin,percent,4.1,4.2,9.998700168978037e-07
373,US National,2 wk ahead,Bin,percent,4.2,4.3,9.998700168978037e-07
374,US National,2 wk ahead,Bin,percent,4.3,4.4,9.998700168978037e-07
375,US National,2 wk ahead,Bin,percent,4.4,4.5,9.998700168978037e-07
376,US National,2 wk ahead,Bin,percent,4.5,4.6,9.998700168978037e-07
377,US National,2 wk ahead,Bin,percent,4.6,4.7,9.998700168978037e-07
378,US National,2 wk ahead,Bin,percent,4.7,4.8,9.998700168978037e-07
379,US National,2 wk ahead,Bin,percent,4.8,4.9,9.998700168978037e-07
380,US National,2 wk ahead,Bin,percent,4.9,5.0,9.998700168978037e-07
381,US National,2 wk ahead,Bin,percent,5.0,5.1,9.998700168978037e-07
382,US National,2 wk ahead,Bin,percent,5.1,5.2,9.998700168978037e-07
383,US National,2 wk ahead,Bin,percent,5.2,5.3,9.998700168978037e-07
384,US National,2 wk ahead,Bin,percent,5.3,5.4,9.998700168978037e-07
385,US National,2 wk ahead,Bin,percent,5.4,5.5,9.998700168978037e-07
386,US National,2 wk ahead,Bin,percent,5.5,5.6,9.998700168978037e-07
387,US National,2 wk ahead,Bin,percent,5.6,5.7,9.998700168978037e-07
388,US National,2 wk ahead,Bin,percent,5.7,5.8,9.998700168978037e-07
389,US National,2 wk ahead,Bin,percent,5.8,5.9,9.998700168978037e-07
390,US National,2 wk ahead,Bin,percent,5.9,6.0,9.998700168978037e-07
391,US National,2 wk ahead,Bin,percent,6.0,6.1,9.998700168978037e-07
392,US National,2 wk ahead,Bin,percent,6.1,6.2,9.998700168978037e-07
393,US National,2 wk ahead,Bin,percent,6.2,6.3,9.998700168978037e-07
394,US National,2 wk ahead,Bin,percent,6.3,6.4,9.998700168978037e-07
395,US National,2 wk ahead,Bin,percent,6.4,6.5,9.998700168978037e-07
