,Unnamed: 0,Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
59,59,US National,Season peak week,Bin,week,13,14,0.03030303
60,60,US National,Season peak week,Bin,week,14,15,0.03030303
61,61,US National,Season peak week,Bin,week,15,16,0.03030303
62,62,US National,Season peak week,Bin,week,16,17,0.03030303
63,63,US National,Season peak week,Bin,week,17,18,0.03030303
64,64,US National,Season peak week,Bin,week,18,19,0.03030303
65,65,US National,Season peak week,Bin,week,19,20,0.03030303
66,66,US National,Season peak week,Bin,week,20,21,0.03030303
67,67,US National,Season peak percentage,Bin,percent,0.0,0.1,0.007633588
68,68,US National,Season peak percentage,Bin,percent,0.1,0.2,0.007633588
69,69,US National,Season peak percentage,Bin,percent,0.2,0.3,0.007633588
70,70,US National,Season peak percentage,Bin,percent,0.3,0.4,0.007633588
71,71,US National,Season peak percentage,Bin,percent,0.4,0.5,0.007633588
72,72,US National,Season peak percentage,Bin,percent,0.5,0.6,0.007633588
73,73,US National,Season peak percentage,Bin,percent,0.6,0.7,0.007633588
74,74,US National,Season peak percentage,Bin,percent,0.7,0.8,0.007633588
75,75,US National,Season peak percentage,Bin,percent,0.8,0.9,0.007633588
76,76,US National,Season peak percentage,Bin,percent,0.9,1.0,0.007633588
77,77,US National,Season peak percentage,Bin,percent,1.0,1.1,0.007633588
78,78,US National,Season peak percentage,Bin,percent,1.1,1.2,0.007633588
79,79,US National,Season peak percentage,Bin,percent,1.2,1.3,0.007633588
80,80,US National,Season peak percentage,Bin,percent,1.3,1.4,0.007633588
81,81,US National,Season peak percentage,Bin,percent,1.4,1.5,0.007633588
82,82,US National,Season peak percentage,Bin,percent,1.5,1.6,0.007633588
83,83,US National,Season peak percentage,Bin,percent,1.6,1.7,0.007633588
84,84,US National,Season peak percentage,Bin,percent,1.7,1.8,0.007633588
85,85,US National,Season peak percentage,Bin,percent,1.8,1.9,0.007633588
86,86,US National,Season peak percentage,Bin,percent,1.9,2.0,0.007633588
87,87,US National,Season peak percentage,Bin,percent,2.0,2.1,0.007633588
88,88,US National,Season peak percentage,Bin,percent,2.1,2.2,0.007633588
89,89,US National,Season peak percentage,Bin,percent,2.2,2.3,0.007633588
90,90,US National,Season peak percentage,Bin,percent,2.3,2.4,0.007633588
91,91,US National,Season peak percentage,Bin,percent,2.4,2.5,0.007633588
92,92,US National,Season peak percentage,Bin,percent,2.5,2.6,0.007633588
93,93,US National,Season peak percentage,Bin,percent,2.6,2.7,0.007633588
94,94,US National,Season peak percentage,Bin,percent,2.7,2.8,0.007633588
95,95,US National,Season peak percentage,Bin,percent,2.8,2.9,0.007633588
96,96,US National,Season peak percentage,Bin,percent,2.9,3.0,0.007633588
97,97,US National,Season peak percentage,Bin,percent,3.0,3.1,0.007633588
98,98,US National,Season peak percentage,Bin,percent,3.1,3.2,0.007633588
99,99,US National,Season peak percentage,Bin,percent,3.2,3.3,0.007633588
100,100,US National,Season peak percentage,Bin,percent,3.3,3.4,0.007633588
101,101,US National,Season peak percentage,Bin,percent,3.4,3.5,0.007633588
102,102,US National,Season peak percentage,Bin,percent,3.5,3.6,0.007633588
103,103,US National,Season peak percentage,Bin,percent,3.6,3.7,0.007633588
104,104,US National,Season peak percentage,Bin,percent,3.7,3.8,0.007633588
105,105,US National,Season peak percentage,Bin,percent,3.8,3.9,0.007633588
106,106,US National,Season peak percentage,Bin,percent,3.9,4.0,0.007633588
107,107,US National,Season peak percentage,Bin,percent,4.0,4.1,0.007633588
108,108,US National,Season peak percentage,Bin,percent,4.1,4.2,0.007633588
109,109,US National,Season peak percentage,Bin,percent,4.2,4.3,0.007633588
110,110,US National,Season peak percentage,Bin,percent,4.3,4.4,0.007633588
111,111,US National,Season peak percentage,Bin,percent,4.4,4.5,0.007633588
112,112,US National,Season peak percentage,Bin,percent,4.5,4.6,0.007633588
113,113,US National,Season peak percentage,Bin,percent,4.6,4.7,0.007633588
114,114,US National,Season peak percentage,Bin,percent,4.7,4.8,0.007633588
115,115,US National,Season peak percentage,Bin,percent,4.8,4.9,0.007633588
116,116,US National,Season peak percentage,Bin,percent,4.9,5.0,0.007633588
117,117,US National,Season peak percentage,Bin,percent,5.0,5.1,0.007633588
118,118,US National,Season peak percentage,Bin,percent,5.1,5.2,0.007633588
119,119,US National,Season peak percentage,Bin,percent,5.2,5.3,0.007633588
120,120,US National,Season peak percentage,Bin,percent,5.3,5.4,0.007633588
121,121,US National,Season peak percentage,Bin,percent,5.4,5.5,0.007633588
122,122,US National,Season peak percentage,Bin,percent,5.5,5.6,0.007633588
123,123,US National,Season peak percentage,Bin,percent,5.6,5.7,0.007633588
124,124,US National,Season peak percentage,Bin,percent,5.7,5.8,0.007633588
125,125,US National,Season peak percentage,Bin,percent,5.8,5.9,0.007633588
126,126,US National,Season peak percentage,Bin,percent,5.9,6.0,0.007633588
127,127,US National,Season peak percentage,Bin,percent,6.0,6.1,0.007633588
128,128,US National,Season peak percentage,Bin,percent,6.1,6.2,0.007633588
129,129,US National,Season peak percentage,Bin,percent,6.2,6.3,0.007633588
130,130,US National,Season peak percentage,Bin,percent,6.3,6.4,0.007633588
131,131,US National,Season peak percentage,Bin,percent,6.4,6.5,0.007633588
132,132,US National,Season peak percentage,Bin,percent,6.5,6.6,0.007633588
133,133,US National,Season peak percentage,Bin,percent,6.6,6.7,0.007633588
134,134,US National,Season peak percentage,Bin,percent,6.7,6.8,0.007633588
135,135,US National,Season peak percentage,Bin,percent,6.8,6.9,0.007633588
136,136,US National,Season peak percentage,Bin,percent,6.9,7.0,0.007633588
137,137,US National,Season peak percentage,Bin,percent,7.0,7.1,0.007633588
138,138,US National,Season peak percentage,Bin,percent,7.1,7.2,0.007633588
139,139,US National,Season peak percentage,Bin,percent,7.2,7.3,0.007633588
140,140,US National,Season peak percentage,Bin,percent,7.3,7.4,0.007633588
141,141,US National,Season peak percentage,Bin,percent,7.4,7.5,0.007633588
142,142,US National,Season peak percentage,Bin,percent,7.5,7.6,0.007633588
143,143,US National,Season peak percentage,Bin,percent,7.6,7.7,0.007633588
144,144,US National,Season peak percentage,Bin,percent,7.7,7.8,0.007633588
145,145,US National,Season peak percentage,Bin,percent,7.8,7.9,0.007633588
146,146,US National,Season peak percentage,Bin,percent,7.9,8.0,0.007633588
147,147,US National,Season peak percentage,Bin,percent,8.0,8.1,0.007633588
148,148,US National,Season peak percentage,Bin,percent,8.1,8.2,0.007633588
149,149,US National,Season peak percentage,Bin,percent,8.2,8.3,0.007633588
150,150,US National,Season peak percentage,Bin,percent,8.3,8.4,0.007633588
151,151,US National,Season peak percentage,Bin,percent,8.4,8.5,0.007633588
152,152,US National,Season peak percentage,Bin,percent,8.5,8.6,0.007633588
153,153,US National,Season peak percentage,Bin,percent,8.6,8.7,0.007633588
154,154,US National,Season peak percentage,Bin,percent,8.7,8.8,0.007633588
155,155,US National,Season peak percentage,Bin,percent,8.8,8.9,0.007633588
156,156,US National,Season peak percentage,Bin,percent,8.9,9.0,0.007633588
157,157,US National,Season peak percentage,Bin,percent,9.0,9.1,0.007633588
158,158,US National,Season peak percentage,Bin,percent,9.1,9.2,0.007633588
159,159,US National,Season peak percentage,Bin,percent,9.2,9.3,0.007633588
160,160,US National,Season peak percentage,Bin,percent,9.3,9.4,0.007633588
161,161,US National,Season peak percentage,Bin,percent,9.4,9.5,0.007633588
162,162,US National,Season peak percentage,Bin,percent,9.5,9.6,0.007633588
163,163,US National,Season peak percentage,Bin,percent,9.6,9.7,0.007633588
164,164,US National,Season peak percentage,Bin,percent,9.7,9.8,0.007633588
165,165,US National,Season peak percentage,Bin,percent,9.8,9.9,0.007633588
166,166,US National,Season peak percentage,Bin,percent,9.9,10.0,0.007633588
167,167,US National,Season peak percentage,Bin,percent,10.0,10.1,0.007633588
168,168,US National,Season peak percentage,Bin,percent,10.1,10.2,0.007633588
169,169,US National,Season peak percentage,Bin,percent,10.2,10.3,0.007633588
170,170,US National,Season peak percentage,Bin,percent,10.3,10.4,0.007633588
171,171,US National,Season peak percentage,Bin,percent,10.4,10.5,0.007633588
172,172,US National,Season peak percentage,Bin,percent,10.5,10.6,0.007633588
173,173,US National,Season peak percentage,Bin,percent,10.6,10.7,0.007633588
174,174,US National,Season peak percentage,Bin,percent,10.7,10.8,0.007633588
175,175,US National,Season peak percentage,Bin,percent,10.8,10.9,0.007633588
176,176,US National,Season peak percentage,Bin,percent,10.9,11.0,0.007633588
177,177,US National,Season peak percentage,Bin,percent,11.0,11.1,0.007633588
178,178,US National,Season peak percentage,Bin,percent,11.1,11.2,0.007633588
179,179,US National,Season peak percentage,Bin,percent,11.2,11.3,0.007633588
180,180,US National,Season peak percentage,Bin,percent,11.3,11.4,0.007633588
181,181,US National,Season peak percentage,Bin,percent,11.4,11.5,0.007633588
182,182,US National,Season peak percentage,Bin,percent,11.5,11.6,0.007633588
183,183,US National,Season peak percentage,Bin,percent,11.6,11.7,0.007633588
184,184,US National,Season peak percentage,Bin,percent,11.7,11.8,0.007633588
185,185,US National,Season peak percentage,Bin,percent,11.8,11.9,0.007633588
186,186,US National,Season peak percentage,Bin,percent,11.9,12.0,0.007633588
187,187,US National,Season peak percentage,Bin,percent,12.0,12.1,0.007633588
188,188,US National,Season peak percentage,Bin,percent,12.1,12.2,0.007633588
189,189,US National,Season peak percentage,Bin,percent,12.2,12.3,0.007633588
190,190,US National,Season peak percentage,Bin,percent,12.3,12.4,0.007633588
191,191,US National,Season peak percentage,Bin,percent,12.4,12.5,0.007633588
192,192,US National,Season peak percentage,Bin,percent,12.5,12.6,0.007633588
193,193,US National,Season peak percentage,Bin,percent,12.6,12.7,0.007633588
194,194,US National,Season peak percentage,Bin,percent,12.7,12.8,0.007633588
195,195,US National,Season peak percentage,Bin,percent,12.8,12.9,0.007633588
196,196,US National,Season peak percentage,Bin,percent,12.9,13.0,0.007633588
197,197,US National,Season peak percentage,Bin,percent,13.0,100.0,0.007633588
198,198,US National,1 wk ahead,Point,percent,,,1.3529951897712542
199,199,US National,1 wk ahead,Bin,percent,0.0,0.1,1.098557876580209e-05
200,200,US National,1 wk ahead,Bin,percent,0.1,0.2,1.098557876580209e-05
201,201,US National,1 wk ahead,Bin,percent,0.2,0.3,1.098557876580209e-05
202,202,US National,1 wk ahead,Bin,percent,0.3,0.4,1.098557876580209e-05
203,203,US National,1 wk ahead,Bin,percent,0.4,0.5,1.098557876580209e-05
204,204,US National,1 wk ahead,Bin,percent,0.5,0.6,1.098557876580209e-05
205,205,US National,1 wk ahead,Bin,percent,0.6,0.7,1.098557876580209e-05
206,206,US National,1 wk ahead,Bin,percent,0.7,0.8,1.098557876580209e-05
207,207,US National,1 wk ahead,Bin,percent,0.8,0.9,0.047941908259486424
208,208,US National,1 wk ahead,Bin,percent,0.9,1.0,0.4603475554915202
209,209,US National,1 wk ahead,Bin,percent,1.0,1.1,0.42739504614852464
210,210,US National,1 wk ahead,Bin,percent,1.1,1.2,0.05992463892966659
211,211,US National,1 wk ahead,Bin,percent,1.2,1.3,0.003006668246310841
212,212,US National,1 wk ahead,Bin,percent,1.3,1.4,1.098557876580209e-05
213,213,US National,1 wk ahead,Bin,percent,1.4,1.5,1.098557876580209e-05
214,214,US National,1 wk ahead,Bin,percent,1.5,1.6,1.098557876580209e-05
215,215,US National,1 wk ahead,Bin,percent,1.6,1.7,1.098557876580209e-05
216,216,US National,1 wk ahead,Bin,percent,1.7,1.8,1.098557876580209e-05
217,217,US National,1 wk ahead,Bin,percent,1.8,1.9,1.098557876580209e-05
218,218,US National,1 wk ahead,Bin,percent,1.9,2.0,1.098557876580209e-05
219,219,US National,1 wk ahead,Bin,percent,2.0,2.1,1.098557876580209e-05
220,220,US National,1 wk ahead,Bin,percent,2.1,2.2,1.098557876580209e-05
221,221,US National,1 wk ahead,Bin,percent,2.2,2.3,1.098557876580209e-05
222,222,US National,1 wk ahead,Bin,percent,2.3,2.4,1.098557876580209e-05
223,223,US National,1 wk ahead,Bin,percent,2.4,2.5,1.098557876580209e-05
224,224,US National,1 wk ahead,Bin,percent,2.5,2.6,1.098557876580209e-05
225,225,US National,1 wk ahead,Bin,percent,2.6,2.7,1.098557876580209e-05
226,226,US National,1 wk ahead,Bin,percent,2.7,2.8,1.098557876580209e-05
227,227,US National,1 wk ahead,Bin,percent,2.8,2.9,1.098557876580209e-05
228,228,US National,1 wk ahead,Bin,percent,2.9,3.0,1.098557876580209e-05
229,229,US National,1 wk ahead,Bin,percent,3.0,3.1,1.098557876580209e-05
230,230,US National,1 wk ahead,Bin,percent,3.1,3.2,1.098557876580209e-05
231,231,US National,1 wk ahead,Bin,percent,3.2,3.3,1.098557876580209e-05
232,232,US National,1 wk ahead,Bin,percent,3.3,3.4,1.098557876580209e-05
233,233,US National,1 wk ahead,Bin,percent,3.4,3.5,1.098557876580209e-05
234,234,US National,1 wk ahead,Bin,percent,3.5,3.6,1.098557876580209e-05
235,235,US National,1 wk ahead,Bin,percent,3.6,3.7,1.098557876580209e-05
236,236,US National,1 wk ahead,Bin,percent,3.7,3.8,1.098557876580209e-05
237,237,US National,1 wk ahead,Bin,percent,3.8,3.9,1.098557876580209e-05
238,238,US National,1 wk ahead,Bin,percent,3.9,4.0,1.098557876580209e-05
239,239,US National,1 wk ahead,Bin,percent,4.0,4.1,1.098557876580209e-05
240,240,US National,1 wk ahead,Bin,percent,4.1,4.2,1.098557876580209e-05
241,241,US National,1 wk ahead,Bin,percent,4.2,4.3,1.098557876580209e-05
242,242,US National,1 wk ahead,Bin,percent,4.3,4.4,1.098557876580209e-05
243,243,US National,1 wk ahead,Bin,percent,4.4,4.5,1.098557876580209e-05
244,244,US National,1 wk ahead,Bin,percent,4.5,4.6,1.098557876580209e-05
245,245,US National,1 wk ahead,Bin,percent,4.6,4.7,1.098557876580209e-05
246,246,US National,1 wk ahead,Bin,percent,4.7,4.8,1.098557876580209e-05
247,247,US National,1 wk ahead,Bin,percent,4.8,4.9,1.098557876580209e-05
248,248,US National,1 wk ahead,Bin,percent,4.9,5.0,1.098557876580209e-05
249,249,US National,1 wk ahead,Bin,percent,5.0,5.1,1.098557876580209e-05
250,250,US National,1 wk ahead,Bin,percent,5.1,5.2,1.098557876580209e-05
251,251,US National,1 wk ahead,Bin,percent,5.2,5.3,1.098557876580209e-05
252,252,US National,1 wk ahead,Bin,percent,5.3,5.4,1.098557876580209e-05
253,253,US National,1 wk ahead,Bin,percent,5.4,5.5,1.098557876580209e-05
254,254,US National,1 wk ahead,Bin,percent,5.5,5.6,1.098557876580209e-05
255,255,US National,1 wk ahead,Bin,percent,5.6,5.7,1.098557876580209e-05
256,256,US National,1 wk ahead,Bin,percent,5.7,5.8,1.098557876580209e-05
257,257,US National,1 wk ahead,Bin,percent,5.8,5.9,1.098557876580209e-05
258,258,US National,1 wk ahead,Bin,percent,5.9,6.0,1.098557876580209e-05
259,259,US National,1 wk ahead,Bin,percent,6.0,6.1,1.098557876580209e-05
260,260,US National,1 wk ahead,Bin,percent,6.1,6.2,1.098557876580209e-05
261,261,US National,1 wk ahead,Bin,percent,6.2,6.3,1.098557876580209e-05
262,262,US National,1 wk ahead,Bin,percent,6.3,6.4,1.098557876580209e-05
263,263,US National,1 wk ahead,Bin,percent,6.4,6.5,1.098557876580209e-05
264,264,US National,1 wk ahead,Bin,percent,6.5,6.6,1.098557876580209e-05
265,265,US National,1 wk ahead,Bin,percent,6.6,6.7,1.098557876580209e-05
266,266,US National,1 wk ahead,Bin,percent,6.7,6.8,1.098557876580209e-05
267,267,US National,1 wk ahead,Bin,percent,6.8,6.9,1.098557876580209e-05
268,268,US National,1 wk ahead,Bin,percent,6.9,7.0,1.098557876580209e-05
269,269,US National,1 wk ahead,Bin,percent,7.0,7.1,1.098557876580209e-05
270,270,US National,1 wk ahead,Bin,percent,7.1,7.2,1.098557876580209e-05
271,271,US National,1 wk ahead,Bin,percent,7.2,7.3,1.098557876580209e-05
272,272,US National,1 wk ahead,Bin,percent,7.3,7.4,1.098557876580209e-05
273,273,US National,1 wk ahead,Bin,percent,7.4,7.5,1.098557876580209e-05
274,274,US National,1 wk ahead,Bin,percent,7.5,7.6,1.098557876580209e-05
275,275,US National,1 wk ahead,Bin,percent,7.6,7.7,1.098557876580209e-05
276,276,US National,1 wk ahead,Bin,percent,7.7,7.8,1.098557876580209e-05
277,277,US National,1 wk ahead,Bin,percent,7.8,7.9,1.098557876580209e-05
278,278,US National,1 wk ahead,Bin,percent,7.9,8.0,1.098557876580209e-05
279,279,US National,1 wk ahead,Bin,percent,8.0,8.1,1.098557876580209e-05
280,280,US National,1 wk ahead,Bin,percent,8.1,8.2,1.098557876580209e-05
281,281,US National,1 wk ahead,Bin,percent,8.2,8.3,1.098557876580209e-05
282,282,US National,1 wk ahead,Bin,percent,8.3,8.4,1.098557876580209e-05
283,283,US National,1 wk ahead,Bin,percent,8.4,8.5,1.098557876580209e-05
284,284,US National,1 wk ahead,Bin,percent,8.5,8.6,1.098557876580209e-05
285,285,US National,1 wk ahead,Bin,percent,8.6,8.7,1.098557876580209e-05
286,286,US National,1 wk ahead,Bin,percent,8.7,8.8,1.098557876580209e-05
287,287,US National,1 wk ahead,Bin,percent,8.8,8.9,1.098557876580209e-05
288,288,US National,1 wk ahead,Bin,percent,8.9,9.0,1.098557876580209e-05
289,289,US National,1 wk ahead,Bin,percent,9.0,9.1,1.098557876580209e-05
290,290,US National,1 wk ahead,Bin,percent,9.1,9.2,1.098557876580209e-05
291,291,US National,1 wk ahead,Bin,percent,9.2,9.3,1.098557876580209e-05
292,292,US National,1 wk ahead,Bin,percent,9.3,9.4,1.098557876580209e-05
293,293,US National,1 wk ahead,Bin,percent,9.4,9.5,1.098557876580209e-05
294,294,US National,1 wk ahead,Bin,percent,9.5,9.6,1.098557876580209e-05
295,295,US National,1 wk ahead,Bin,percent,9.6,9.7,1.098557876580209e-05
296,296,US National,1 wk ahead,Bin,percent,9.7,9.8,1.098557876580209e-05
297,297,US National,1 wk ahead,Bin,percent,9.8,9.9,1.098557876580209e-05
298,298,US National,1 wk ahead,Bin,percent,9.9,10.0,1.098557876580209e-05
299,299,US National,1 wk ahead,Bin,percent,10.0,10.1,1.098557876580209e-05
300,300,US National,1 wk ahead,Bin,percent,10.1,10.2,1.098557876580209e-05
301,301,US National,1 wk ahead,Bin,percent,10.2,10.3,1.098557876580209e-05
302,302,US National,1 wk ahead,Bin,percent,10.3,10.4,1.098557876580209e-05
303,303,US National,1 wk ahead,Bin,percent,10.4,10.5,1.098557876580209e-05
304,304,US National,1 wk ahead,Bin,percent,10.5,10.6,1.098557876580209e-05
305,305,US National,1 wk ahead,Bin,percent,10.6,10.7,1.098557876580209e-05
306,306,US National,1 wk ahead,Bin,percent,10.7,10.8,1.098557876580209e-05
307,307,US National,1 wk ahead,Bin,percent,10.8,10.9,1.098557876580209e-05
308,308,US National,1 wk ahead,Bin,percent,10.9,11.0,1.098557876580209e-05
309,309,US National,1 wk ahead,Bin,percent,11.0,11.1,1.098557876580209e-05
310,310,US National,1 wk ahead,Bin,percent,11.1,11.2,1.098557876580209e-05
311,311,US National,1 wk ahead,Bin,percent,11.2,11.3,1.098557876580209e-05
312,312,US National,1 wk ahead,Bin,percent,11.3,11.4,1.098557876580209e-05
313,313,US National,1 wk ahead,Bin,percent,11.4,11.5,1.098557876580209e-05
314,314,US National,1 wk ahead,Bin,percent,11.5,11.6,1.098557876580209e-05
315,315,US National,1 wk ahead,Bin,percent,11.6,11.7,1.098557876580209e-05
316,316,US National,1 wk ahead,Bin,percent,11.7,11.8,1.098557876580209e-05
317,317,US National,1 wk ahead,Bin,percent,11.8,11.9,1.098557876580209e-05
318,318,US National,1 wk ahead,Bin,percent,11.9,12.0,1.098557876580209e-05
319,319,US National,1 wk ahead,Bin,percent,12.0,12.1,1.098557876580209e-05
320,320,US National,1 wk ahead,Bin,percent,12.1,12.2,1.098557876580209e-05
321,321,US National,1 wk ahead,Bin,percent,12.2,12.3,1.098557876580209e-05
322,322,US National,1 wk ahead,Bin,percent,12.3,12.4,1.098557876580209e-05
323,323,US National,1 wk ahead,Bin,percent,12.4,12.5,1.098557876580209e-05
324,324,US National,1 wk ahead,Bin,percent,12.5,12.6,1.098557876580209e-05
325,325,US National,1 wk ahead,Bin,percent,12.6,12.7,1.098557876580209e-05
326,326,US National,1 wk ahead,Bin,percent,12.7,12.8,1.098557876580209e-05
327,327,US National,1 wk ahead,Bin,percent,12.8,12.9,1.098557876580209e-05
328,328,US National,1 wk ahead,Bin,percent,12.9,13.0,1.098557876580209e-05
329,329,US National,1 wk ahead,Bin,percent,13.0,100,1.098557876580209e-05
330,330,US National,2 wk ahead,Point,percent,,,1.428232293525333
331,331,US National,2 wk ahead,Bin,percent,0.0,0.1,0.9985718747604455
332,332,US National,2 wk ahead,Bin,percent,0.1,0.2,1.098557876580209e-05
333,333,US National,2 wk ahead,Bin,percent,0.2,0.3,1.098557876580209e-05
334,334,US National,2 wk ahead,Bin,percent,0.3,0.4,1.098557876580209e-05
335,335,US National,2 wk ahead,Bin,percent,0.4,0.5,1.098557876580209e-05
336,336,US National,2 wk ahead,Bin,percent,0.5,0.6,1.098557876580209e-05
337,337,US National,2 wk ahead,Bin,percent,0.6,0.7,1.098557876580209e-05
338,338,US National,2 wk ahead,Bin,percent,0.7,0.8,1.098557876580209e-05
339,339,US National,2 wk ahead,Bin,percent,0.8,0.9,1.098557876580209e-05
340,340,US National,2 wk ahead,Bin,percent,0.9,1.0,1.098557876580209e-05
341,341,US National,2 wk ahead,Bin,percent,1.0,1.1,1.098557876580209e-05
342,342,US National,2 wk ahead,Bin,percent,1.1,1.2,1.098557876580209e-05
343,343,US National,2 wk ahead,Bin,percent,1.2,1.3,1.098557876580209e-05
344,344,US National,2 wk ahead,Bin,percent,1.3,1.4,1.098557876580209e-05
345,345,US National,2 wk ahead,Bin,percent,1.4,1.5,1.098557876580209e-05
346,346,US National,2 wk ahead,Bin,percent,1.5,1.6,1.098557876580209e-05
347,347,US National,2 wk ahead,Bin,percent,1.6,1.7,1.098557876580209e-05
348,348,US National,2 wk ahead,Bin,percent,1.7,1.8,1.098557876580209e-05
349,349,US National,2 wk ahead,Bin,percent,1.8,1.9,1.098557876580209e-05
350,350,US National,2 wk ahead,Bin,percent,1.9,2.0,1.098557876580209e-05
351,351,US National,2 wk ahead,Bin,percent,2.0,2.1,1.098557876580209e-05
352,352,US National,2 wk ahead,Bin,percent,2.1,2.2,1.098557876580209e-05
353,353,US National,2 wk ahead,Bin,percent,2.2,2.3,1.098557876580209e-05
354,354,US National,2 wk ahead,Bin,percent,2.3,2.4,1.098557876580209e-05
355,355,US National,2 wk ahead,Bin,percent,2.4,2.5,1.098557876580209e-05
356,356,US National,2 wk ahead,Bin,percent,2.5,2.6,1.098557876580209e-05
357,357,US National,2 wk ahead,Bin,percent,2.6,2.7,1.098557876580209e-05
358,358,US National,2 wk ahead,Bin,percent,2.7,2.8,1.098557876580209e-05
359,359,US National,2 wk ahead,Bin,percent,2.8,2.9,1.098557876580209e-05
360,360,US National,2 wk ahead,Bin,percent,2.9,3.0,1.098557876580209e-05
361,361,US National,2 wk ahead,Bin,percent,3.0,3.1,1.098557876580209e-05
362,362,US National,2 wk ahead,Bin,percent,3.1,3.2,1.098557876580209e-05
363,363,US National,2 wk ahead,Bin,percent,3.2,3.3,1.098557876580209e-05
364,364,US National,2 wk ahead,Bin,percent,3.3,3.4,1.098557876580209e-05
365,365,US National,2 wk ahead,Bin,percent,3.4,3.5,1.098557876580209e-05
366,366,US National,2 wk ahead,Bin,percent,3.5,3.6,1.098557876580209e-05
367,367,US National,2 wk ahead,Bin,percent,3.6,3.7,1.098557876580209e-05
368,368,US National,2 wk ahead,Bin,percent,3.7,3.8,1.098557876580209e-05
369,369,US National,2 wk ahead,Bin,percent,3.8,3.9,1.098557876580209e-05
370,370,US National,2 wk ahead,Bin,percent,3.9,4.0,1.098557876580209e-05
371,371,US National,2 wk ahead,Bin,percent,4.0,4.1,1.098557876580209e-05
372,372,US National,2 wk ahead,Bin,percent,4.1,4.2,1.098557876580209e-05
373,373,US National,2 wk ahead,Bin,percent,4.2,4.3,1.098557876580209e-05
374,374,US National,2 wk ahead,Bin,percent,4.3,4.4,1.098557876580209e-05
375,375,US National,2 wk ahead,Bin,percent,4.4,4.5,1.098557876580209e-05
